# _tick,_time,frames,mean_episode_return_landlord,loss_landlord,mean_episode_return_landlord_up,loss_landlord_up,mean_episode_return_landlord_down,loss_landlord_down,mean_episode_return_bidding,loss_bidding
75,1708663688.7181375,120000,-0.09576144069433212,0.017029711976647377,0.09563811123371124,0.02006787806749344,0.0958249494433403,0.021455930545926094,-0.22825977206230164,0.39155149459838867
76,1708663693.3871267,121600,-0.09576144069433212,0.017029711976647377,0.09563811123371124,0.02006787806749344,0.09529971331357956,0.019260695204138756,-0.22825977206230164,0.39155149459838867
77,1708663697.235357,123200,-0.09576144069433212,0.017029711976647377,0.09579211473464966,0.01860169693827629,0.09529971331357956,0.019260695204138756,-0.22825977206230164,0.39155149459838867
78,1708663699.3324492,124800,-0.09592130780220032,0.01653294451534748,0.09579211473464966,0.01860169693827629,0.09529971331357956,0.019260695204138756,-0.22825977206230164,0.39155149459838867
79,1708663704.2133358,126400,-0.09592130780220032,0.01653294451534748,0.09579211473464966,0.01860169693827629,0.09554367512464523,0.01849387027323246,-0.22825977206230164,0.39155149459838867
80,1708663708.04624,128000,-0.09592130780220032,0.01653294451534748,0.09558916091918945,0.017593877390027046,0.09554367512464523,0.01849387027323246,-0.22825977206230164,0.39155149459838867
81,1708663709.9468966,129600,-0.09558078646659851,0.016730159521102905,0.09558916091918945,0.017593877390027046,0.09554367512464523,0.01849387027323246,-0.22825977206230164,0.39155149459838867
82,1708663714.9290953,131200,-0.09558078646659851,0.016730159521102905,0.09558916091918945,0.017593877390027046,0.09567829966545105,0.018431153148412704,-0.22825977206230164,0.39155149459838867
83,1708663715.5091033,132800,-0.09558078646659851,0.016730159521102905,0.09558916091918945,0.017593877390027046,0.09567829966545105,0.018431153148412704,-0.2380181849002838,0.43817785382270813
84,1708663718.8512793,134400,-0.09558078646659851,0.016730159521102905,0.09527069330215454,0.018615104258060455,0.09567829966545105,0.018431153148412704,-0.2380181849002838,0.43817785382270813
85,1708663720.3837688,136000,-0.0953935980796814,0.016943087801337242,0.09527069330215454,0.018615104258060455,0.09567829966545105,0.018431153148412704,-0.2380181849002838,0.43817785382270813
86,1708663725.4076412,137600,-0.0953935980796814,0.016943087801337242,0.09527069330215454,0.018615104258060455,0.09539580345153809,0.01819118671119213,-0.2380181849002838,0.43817785382270813
87,1708663729.5309882,139200,-0.0953935980796814,0.016943087801337242,0.09581468999385834,0.01619781367480755,0.09539580345153809,0.01819118671119213,-0.2380181849002838,0.43817785382270813
88,1708663730.634865,140800,-0.09596458822488785,0.013341311365365982,0.09581468999385834,0.01619781367480755,0.09539580345153809,0.01819118671119213,-0.2380181849002838,0.43817785382270813
89,1708663735.9996285,142400,-0.09596458822488785,0.013341311365365982,0.09581468999385834,0.01619781367480755,0.09627696871757507,0.016361234709620476,-0.2380181849002838,0.43817785382270813
90,1708663740.3292327,144000,-0.09596458822488785,0.013341311365365982,0.09614434838294983,0.017005037516355515,0.09627696871757507,0.016361234709620476,-0.2380181849002838,0.43817785382270813
91,1708663741.2265377,145600,-0.0960860326886177,0.015763429924845695,0.09614434838294983,0.017005037516355515,0.09627696871757507,0.016361234709620476,-0.2380181849002838,0.43817785382270813
92,1708663746.5921273,147200,-0.0960860326886177,0.015763429924845695,0.09614434838294983,0.017005037516355515,0.09652171283960342,0.018130481243133545,-0.2380181849002838,0.43817785382270813
93,1708663751.3531969,148800,-0.0960860326886177,0.015763429924845695,0.09639233350753784,0.01675848849117756,0.09652171283960342,0.018130481243133545,-0.2380181849002838,0.43817785382270813
94,1708663751.7170053,150400,-0.0963539332151413,0.014641940593719482,0.09639233350753784,0.01675848849117756,0.09652171283960342,0.018130481243133545,-0.2380181849002838,0.43817785382270813
95,1708663755.9565542,152000,-0.0963539332151413,0.014641940593719482,0.09639233350753784,0.01675848849117756,0.09652171283960342,0.018130481243133545,-0.2363431453704834,0.3795711100101471
96,1708663757.4709532,153600,-0.0963539332151413,0.014641940593719482,0.09639233350753784,0.01675848849117756,0.096690334379673,0.016273006796836853,-0.2363431453704834,0.3795711100101471
97,1708663762.1940277,155200,-0.09632972627878189,0.016605360433459282,0.09639233350753784,0.01675848849117756,0.096690334379673,0.016273006796836853,-0.2363431453704834,0.3795711100101471
98,1708663762.1955113,156800,-0.09632972627878189,0.016605360433459282,0.09630093723535538,0.016893383115530014,0.096690334379673,0.016273006796836853,-0.2363431453704834,0.3795711100101471
99,1708663767.8998477,158400,-0.09632972627878189,0.016605360433459282,0.09630093723535538,0.016893383115530014,0.09666052460670471,0.01747710444033146,-0.2363431453704834,0.3795711100101471
100,1708663772.5615115,160000,-0.0965481847524643,0.014048399403691292,0.09630093723535538,0.016893383115530014,0.09666052460670471,0.01747710444033146,-0.2363431453704834,0.3795711100101471
101,1708663773.0270858,161600,-0.0965481847524643,0.014048399403691292,0.09652003645896912,0.015444948337972164,0.09666052460670471,0.01747710444033146,-0.2363431453704834,0.3795711100101471
102,1708663778.6378062,163200,-0.0965481847524643,0.014048399403691292,0.09652003645896912,0.015444948337972164,0.0966276302933693,0.015526394359767437,-0.2363431453704834,0.3795711100101471
103,1708663783.1049933,164800,-0.09691367298364639,0.01329819206148386,0.09652003645896912,0.015444948337972164,0.0966276302933693,0.015526394359767437,-0.2363431453704834,0.3795711100101471
104,1708663783.7402124,166400,-0.09691367298364639,0.01329819206148386,0.09687556326389313,0.014055980369448662,0.0966276302933693,0.015526394359767437,-0.2363431453704834,0.3795711100101471
105,1708663789.4655695,168000,-0.09691367298364639,0.01329819206148386,0.09687556326389313,0.014055980369448662,0.09676984697580338,0.016109474003314972,-0.2363431453704834,0.3795711100101471
106,1708663793.5573614,169600,-0.09654290229082108,0.016972169280052185,0.09687556326389313,0.014055980369448662,0.09676984697580338,0.016109474003314972,-0.2363431453704834,0.3795711100101471
107,1708663794.618433,171200,-0.09654290229082108,0.016972169280052185,0.096609927713871,0.016901887953281403,0.09676984697580338,0.016109474003314972,-0.2363431453704834,0.3795711100101471
108,1708663797.1925724,172800,-0.09654290229082108,0.016972169280052185,0.096609927713871,0.016901887953281403,0.09676984697580338,0.016109474003314972,-0.23912040889263153,0.4284377992153168
109,1708663800.142109,174400,-0.09654290229082108,0.016972169280052185,0.096609927713871,0.016901887953281403,0.09653367102146149,0.01575525663793087,-0.23912040889263153,0.4284377992153168
110,1708663803.9790099,176000,-0.09620843082666397,0.015998534858226776,0.096609927713871,0.016901887953281403,0.09653367102146149,0.01575525663793087,-0.23912040889263153,0.4284377992153168
111,1708663805.4759839,177600,-0.09620843082666397,0.015998534858226776,0.09614938497543335,0.017023060470819473,0.09653367102146149,0.01575525663793087,-0.23912040889263153,0.4284377992153168
112,1708663810.7560506,179200,-0.09620843082666397,0.015998534858226776,0.09614938497543335,0.017023060470819473,0.09570124745368958,0.020009001716971397,-0.23912040889263153,0.4284377992153168
113,1708663814.6336584,180800,-0.09599801898002625,0.01512241642922163,0.09614938497543335,0.017023060470819473,0.09570124745368958,0.020009001716971397,-0.23912040889263153,0.4284377992153168
114,1708663816.496963,182400,-0.09599801898002625,0.01512241642922163,0.09606225788593292,0.015869982540607452,0.09570124745368958,0.020009001716971397,-0.23912040889263153,0.4284377992153168
115,1708663821.8014207,184000,-0.09599801898002625,0.01512241642922163,0.09606225788593292,0.015869982540607452,0.0963108018040657,0.012319250032305717,-0.23912040889263153,0.4284377992153168
116,1708663825.4932137,185600,-0.09638674557209015,0.011554853990674019,0.09606225788593292,0.015869982540607452,0.0963108018040657,0.012319250032305717,-0.23912040889263153,0.4284377992153168
117,1708663827.763351,187200,-0.09638674557209015,0.011554853990674019,0.09633191674947739,0.01378392893821001,0.0963108018040657,0.012319250032305717,-0.23912040889263153,0.4284377992153168
118,1708663832.8960018,188800,-0.09638674557209015,0.011554853990674019,0.09633191674947739,0.01378392893821001,0.09637909382581711,0.015312107279896736,-0.23912040889263153,0.4284377992153168
119,1708663836.1419294,190400,-0.09634193032979965,0.016130417585372925,0.09633191674947739,0.01378392893821001,0.09637909382581711,0.015312107279896736,-0.23912040889263153,0.4284377992153168
120,1708663838.2531617,192000,-0.09634193032979965,0.016130417585372925,0.09633191674947739,0.01378392893821001,0.09637909382581711,0.015312107279896736,-0.24504797160625458,0.45730093121528625
121,1708663839.0367444,193600,-0.09634193032979965,0.016130417585372925,0.09643763303756714,0.014809774234890938,0.09637909382581711,0.015312107279896736,-0.24504797160625458,0.45730093121528625
122,1708663843.841988,195200,-0.09634193032979965,0.016130417585372925,0.09643763303756714,0.014809774234890938,0.09639614075422287,0.015440987423062325,-0.24504797160625458,0.45730093121528625
123,1708663846.986158,196800,-0.09636210650205612,0.013728954829275608,0.09643763303756714,0.014809774234890938,0.09639614075422287,0.015440987423062325,-0.24504797160625458,0.45730093121528625
124,1708663850.1446369,198400,-0.09636210650205612,0.013728954829275608,0.09649539738893509,0.015648283064365387,0.09639614075422287,0.015440987423062325,-0.24504797160625458,0.45730093121528625
125,1708663854.7652657,200000,-0.09636210650205612,0.013728954829275608,0.09649539738893509,0.015648283064365387,0.09625839442014694,0.016279039904475212,-0.24504797160625458,0.45730093121528625
126,1708663857.6431112,201600,-0.09640079736709595,0.014375900849699974,0.09649539738893509,0.015648283064365387,0.09625839442014694,0.016279039904475212,-0.24504797160625458,0.45730093121528625
127,1708663861.090354,203200,-0.09640079736709595,0.014375900849699974,0.09649302810430527,0.015041501261293888,0.09625839442014694,0.016279039904475212,-0.24504797160625458,0.45730093121528625
128,1708663865.6017795,204800,-0.09640079736709595,0.014375900849699974,0.09649302810430527,0.015041501261293888,0.09629479050636292,0.016724351793527603,-0.24504797160625458,0.45730093121528625
129,1708663868.3250828,206400,-0.09636240452528,0.01474529318511486,0.09649302810430527,0.015041501261293888,0.09629479050636292,0.016724351793527603,-0.24504797160625458,0.45730093121528625
130,1708663872.0231788,208000,-0.09636240452528,0.01474529318511486,0.09634127467870712,0.017181824892759323,0.09629479050636292,0.016724351793527603,-0.24504797160625458,0.45730093121528625
131,1708663876.5237029,209600,-0.09636240452528,0.01474529318511486,0.09634127467870712,0.017181824892759323,0.09654439240694046,0.014731396920979023,-0.24504797160625458,0.45730093121528625
132,1708663878.362244,211200,-0.09636240452528,0.01474529318511486,0.09634127467870712,0.017181824892759323,0.09654439240694046,0.014731396920979023,-0.2437460720539093,0.3875391185283661
133,1708663878.8110647,212800,-0.09665422141551971,0.012399359606206417,0.09634127467870712,0.017181824892759323,0.09654439240694046,0.014731396920979023,-0.2437460720539093,0.3875391185283661
134,1708663883.2207932,214400,-0.09665422141551971,0.012399359606206417,0.09667325764894485,0.012816603295505047,0.09654439240694046,0.014731396920979023,-0.2437460720539093,0.3875391185283661
135,1708663887.2236567,216000,-0.09665422141551971,0.012399359606206417,0.09667325764894485,0.012816603295505047,0.0969066396355629,0.013247039169073105,-0.2437460720539093,0.3875391185283661
136,1708663889.5861402,217600,-0.09687014669179916,0.013409926556050777,0.09667325764894485,0.012816603295505047,0.0969066396355629,0.013247039169073105,-0.2437460720539093,0.3875391185283661
137,1708663894.2262912,219200,-0.09687014669179916,0.013409926556050777,0.09676365554332733,0.015402707271277905,0.0969066396355629,0.013247039169073105,-0.2437460720539093,0.3875391185283661
138,1708663898.190159,220800,-0.09687014669179916,0.013409926556050777,0.09676365554332733,0.015402707271277905,0.09690563380718231,0.014927289448678493,-0.2437460720539093,0.3875391185283661
139,1708663900.2997832,222400,-0.09673144668340683,0.014010591432452202,0.09676365554332733,0.015402707271277905,0.09690563380718231,0.014927289448678493,-0.2437460720539093,0.3875391185283661
140,1708663905.3558652,224000,-0.09673144668340683,0.014010591432452202,0.09663808345794678,0.015219753608107567,0.09690563380718231,0.014927289448678493,-0.2437460720539093,0.3875391185283661
141,1708663909.1029289,225600,-0.09673144668340683,0.014010591432452202,0.09663808345794678,0.015219753608107567,0.0967644602060318,0.01744483970105648,-0.2437460720539093,0.3875391185283661
142,1708663910.9977133,227200,-0.09667596220970154,0.0142239760607481,0.09663808345794678,0.015219753608107567,0.0967644602060318,0.01744483970105648,-0.2437460720539093,0.3875391185283661
143,1708663916.2131863,228800,-0.09667596220970154,0.0142239760607481,0.0970863327383995,0.011628832668066025,0.0967644602060318,0.01744483970105648,-0.2437460720539093,0.3875391185283661
144,1708663919.067359,230400,-0.09667596220970154,0.0142239760607481,0.0970863327383995,0.011628832668066025,0.0967644602060318,0.01744483970105648,-0.2480759620666504,0.45370543003082275
145,1708663919.9687595,232000,-0.09667596220970154,0.0142239760607481,0.0970863327383995,0.011628832668066025,0.09713992476463318,0.012052306905388832,-0.2480759620666504,0.45370543003082275
146,1708663921.8646343,233600,-0.09710054844617844,0.011301693506538868,0.0970863327383995,0.011628832668066025,0.09713992476463318,0.012052306905388832,-0.2480759620666504,0.45370543003082275
147,1708663927.6011379,235200,-0.09710054844617844,0.011301693506538868,0.09730139374732971,0.012464217841625214,0.09713992476463318,0.012052306905388832,-0.2480759620666504,0.45370543003082275
148,1708663930.9884143,236800,-0.09710054844617844,0.011301693506538868,0.09730139374732971,0.012464217841625214,0.0972369983792305,0.013147091493010521,-0.2480759620666504,0.45370543003082275
149,1708663932.658817,238400,-0.09709449112415314,0.01156084705144167,0.09730139374732971,0.012464217841625214,0.0972369983792305,0.013147091493010521,-0.2480759620666504,0.45370543003082275
150,1708663938.424592,240000,-0.09709449112415314,0.01156084705144167,0.09705396741628647,0.01571602188050747,0.0972369983792305,0.013147091493010521,-0.2480759620666504,0.45370543003082275
151,1708663941.7883048,241600,-0.09709449112415314,0.01156084705144167,0.09705396741628647,0.01571602188050747,0.09719142317771912,0.016283592209219933,-0.2480759620666504,0.45370543003082275
152,1708663943.1580496,243200,-0.09702318906784058,0.014805284328758717,0.09705396741628647,0.01571602188050747,0.09719142317771912,0.016283592209219933,-0.2480759620666504,0.45370543003082275
153,1708663949.5152729,244800,-0.09702318906784058,0.014805284328758717,0.09688835591077805,0.01706288941204548,0.09719142317771912,0.016283592209219933,-0.2480759620666504,0.45370543003082275
